region,landfill_size_class,avg_landfill_design_capacity_tons,sum_landfill_design_capacity_tons,avg_landfill_waste_in_place_tons,sum_landfill_waste_in_place_tons,avg_landfill_available_capacity_tons,sum_landfill_available_capacity_tons
CA,small,24794124,2826530102,4706628,1369628865,15828669,1756982275
US,small,17322097,18032302761,3507168,6053372816,12575227,11732686674
