Fuel Code,RIN Year,Production Month,RIN Quantity,Batch Volume
6,2010,10,1111622351,1111546981
6,2010,11,1139098116,1138879287
6,2010,12,1198030350,1197981699
6,2011,1,1160570280,1160507379
6,2011,2,1054423544,1054310409
6,2011,3,1225930124,1225840883
6,2011,4,1069645214,1069645214
6,2011,5,1140451648,1140292912
6,2011,6,1165018756,1164807744
6,2011,7,1126486405,1126407671
6,2011,8,1165928785,1165825582
6,2011,9,1079540488,1079467799
6,2011,10,1104898875,1103955518
6,2011,11,1140604228,1140351042
6,2011,12,1181817350,1181817350
6,2012,1,1178481937,1178481937
6,2012,2,1080127076,1079918366
6,2012,3,1136870708,1136870708
6,2012,4,1096194768,1096194768
6,2012,5,1131920310,1131920310
6,2012,6,1085594445,1085594445
6,2012,7,1057188151,1057188151
6,2012,8,1096137053,1096087508
6,2012,9,985889758,985889758
6,2012,10,1057113558,1057057652
6,2012,11,1045401471,1045378800
6,2012,12,1036922366,1036886357
6,2013,1,1028170158,1028167094
6,2013,2,939523039,939519958
6,2013,3,1034794830,1034593870
6,2013,4,1085695435,1085649989
6,2013,5,1163340600,1154104238
6,2013,6,1122857004,1114930158
6,2013,7,1148269180,1136472663
6,2013,8,1129499986,1118799501
6,2013,9,1112976814,1095829042
6,2013,10,1185292367,1172138698
6,2013,11,1151423229,1140623001
6,2013,12,1248668943,1230437323
6,2014,1,1174626266,1164561836
6,2014,2,1049667186,1037693400
6,2014,3,1169255011,1160091876
6,2014,4,1203272597,1191902000
6,2014,5,1222057576,1213321627
6,2014,6,1218292698,1207547567
6,2014,7,1271527305,1258136970
6,2014,8,1223303113,1206229071
6,2014,9,1172450227,1167803409
6,2014,10,1171979745,1168334208
6,2014,11,1165927570,1149403109
6,2014,12,1311663762,1296431295
6,2015,1,1227376585,1213177909
6,2015,2,1107200252,1095053656
6,2015,3,1237748634,1222849505
6,2015,4,1196071217,1180504446
6,2015,5,1224987518,1214823596
6,2015,6,1273176456,1259983256
6,2015,7,1279153620,1259312061
6,2015,8,1259506154,1240378694
6,2015,9,1218031574,1202957616
6,2015,10,1265572024,1247473898
6,2015,11,1226862067,1215301471
6,2015,12,1314935501,1301206927
6,2016,1,1247310059,1234567759
6,2016,2,1183286275,1174959350
6,2016,3,1247237065,1236924733
6,2016,4,1191391945,1177619758
6,2016,5,1283378108,1265304379
6,2016,6,1309478745,1295213528
6,2016,7,1269674308,1255001875
6,2016,8,1330704285,1318186629
6,2016,9,1253918613,1238060947
6,2016,10,1290661376,1269833716
7,2012,11,1741,1024
7,2013,3,16664,9802
7,2013,6,32728,19251
7,2013,7,44253,26031
7,2013,9,123940,72906
7,2013,10,60007,35298
7,2013,11,59094,34761
7,2013,12,59091,34759
7,2014,3,472,472
7,2014,4,10950,7302
7,2014,7,1248,1248
7,2014,8,5532,5532
7,2014,9,17073,17073
7,2014,10,24030,24030
7,2015,5,173731,173731
7,2015,8,53303,53303
7,2015,11,48281,48281
7,2016,3,127593,127593
7,2016,9,99563,99563
7,2016,10,229819,229819
