7c. U.S. Regional Retail Electricity Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/outlooks/steo/data/browser/#?v=21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu May 11 2017 09:18:11 GMT-0600 (Mountain Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remove,,map,linechart,units,source key,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7c. U.S. Regional Retail Electricity Prices,7c. U.S. Regional Retail Electricity Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential Sector,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West South Central,Electricity Commercial Sector Price: West South Central,1,1,cents per kilowatthour,ESCMU_WSC,6.31,6.61,6.74,6.92,6.97,6.6,6.69,6.67,6.43,6.33,6.78,7.45,6.69,7.44,7.54,8.47,9.25,9.26,10.12,8.94,8.78,8.56,7.99,8.11,8.27,8.18,7.81,7.88,7.7
Mountain,Electricity Commercial Sector Price: Mountain,1,1,cents per kilowatthour,ESCMU_MTN,6.49,6.52,6.62,6.69,6.71,6.64,6.55,6.43,6.41,6.22,6.14,6.52,6.64,6.84,7.06,7.41,7.58,7.76,8.36,8.53,8.75,8.86,8.99,9.35,9.65,9.71,9.56,9.61,9.71
Pacific,Electricity Commercial Sector Price: Pacific,1,1,cents per kilowatthour,ESCMU_PAC,8.07,8.44,8.65,8.75,9.09,8.82,8.36,8.45,8.21,8.41,8.63,10.23,11.38,10.69,10.19,10.48,11.22,11.19,11.04,11.59,11.58,11.61,11.92,12.49,13.6,13.71,13.28,13.78,14.33
U.S. Average,Electricity Commercial Sector Price: U.S. Average,1,1,cents per kilowatthour,ESCMU_US,7.34,7.51,7.63,7.72,7.75,7.69,7.64,7.59,7.41,7.26,7.43,7.92,7.89,8.03,8.17,8.72,9.46,9.65,10.26,10.16,10.19,10.23,10.09,10.26,10.74,10.64,10.37,10.52,10.69
Industrial Sector,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England,Electricity Industrial Price: New England,1,1,cents per kilowatthour,ESICU_NEC,7.39,7.92,8.14,8.28,8.04,8.04,7.92,8.02,7.82,7.47,7.85,8.48,8.02,8.35,8.22,8.84,11.58,12.74,13.47,13.44,12.98,12.55,11.84,12.25,11.84,12.34,12.09,12.31,12.63
Middle Atlantic,Electricity Industrial Price: Middle Atlantic,1,1,cents per kilowatthour,ESICU_MAC,6.14,6.5,6.57,6.6,6.46,6.24,6.19,6.03,5.79,5.41,5.97,6.08,5.9,6.5,6.62,7.08,7.77,7.78,8.3,8.05,8.4,8.17,7.49,7.27,7.61,7.32,7.03,7.05,7.09
East North Central,Electricity Industrial Price: East North Central,1,1,cents per kilowatthour,ESICU_ENC,4.63,4.73,4.69,4.57,4.41,4.45,4.43,4.41,4.45,4.39,4.44,4.46,4.63,4.64,4.68,4.77,5.36,5.9,6.39,6.62,6.53,6.53,6.51,6.65,7.07,6.97,6.91,7.09,7.21
West North Central,Electricity Industrial Price: West North Central,1,1,cents per kilowatthour,ESICU_WNC,4.41,4.46,4.46,4.45,4.35,4.32,4.24,4.25,4.28,4.24,4.3,4.28,4.19,4.34,4.51,4.57,4.94,5.08,5.32,5.72,5.86,6.08,6.28,6.67,6.73,6.88,7.07,7.21,7.34
South Atlantic,Electricity Industrial Price: South Atlantic,1,1,cents per kilowatthour,ESICU_SAC,4.63,4.72,4.7,4.73,4.56,4.47,4.35,4.25,4.2,4.15,4.16,4.34,4.25,4.47,4.78,5.14,5.45,5.67,6.28,6.7,6.66,6.66,6.55,6.54,6.75,6.58,6.4,6.62,6.79
East South Central,Electricity Industrial Price: East South Central,1,1,cents per kilowatthour,ESICU_ESC,4.26,4.15,4.08,4.18,3.98,3.91,3.86,3.47,3.68,3.63,3.7,3.69,3.72,3.86,4.04,4.24,4.81,5.04,5.75,5.84,5.83,6.19,6.11,5.98,6.13,5.98,5.83,6.23,6.44
West South Central,Electricity Industrial Price: West South Central,1,1,cents per kilowatthour,ESICU_WSC,4.11,4.21,4.25,4.39,4.23,4.02,4.11,4.13,3.98,3.98,4.48,5.15,4.48,5.14,5.58,6.41,7.16,7.14,8.08,6.21,6.13,6,5.39,5.82,6.09,5.59,5.22,5.65,5.86
Mountain,Electricity Industrial Price: Mountain,1,1,cents per kilowatthour,ESICU_MTN,4.1,4.17,4.21,4.3,4.29,4.2,4.11,4.05,4.04,3.95,4.22,4.84,4.86,5.01,5.05,5.3,5.5,5.68,6.05,6.09,6.13,6.08,6.18,6.48,6.68,6.59,6.33,6.62,6.85
Pacific,Electricity Industrial Price: Pacific,1,1,cents per kilowatthour,ESICU_PAC,4.94,5.07,5.15,5.12,5.19,5.39,5.22,5.16,4.94,5.17,5.46,7.63,7.98,7.76,7.35,7.26,7.85,7.89,7.97,8.02,7.47,7.62,7.78,8.61,9.07,9.03,9.14,9.2,9.26
U.S.Average,Electricity Industrial Price: U.S. Average,1,1,cents per kilowatthour,ESICU_US,4.75,4.85,4.84,4.86,4.72,4.66,4.6,4.53,4.48,4.43,4.64,5.05,4.88,5.11,5.26,5.57,6.16,6.39,6.96,6.83,6.77,6.82,6.67,6.89,7.1,6.91,6.75,7,7.16
Average All Sectors,Average All Sectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England,Average Electricity Price All Sectors: New England,1,1,cents per kilowatthour,ESTCU_NEC,8.81,9.42,9.73,10,10.1,10.27,10.28,10.47,10,9.67,9.75,10.86,10.03,10.42,10.61,11.89,14.51,15.08,16.06,15.65,14.89,14.49,14.02,14.47,15.45,16.52,16.13,15.51,15.55
Middle Atlantic,Average Electricity Price All Sectors: Middle Atlantic,1,1,cents per kilowatthour,ESTCU_MAC,8.67,9.05,9.25,9.5,9.58,9.71,9.76,9.78,9.49,9.16,9.55,9.74,9.58,10.1,10.29,11.02,11.92,12.31,13.17,12.92,13.61,13.37,12.75,12.85,13.41,13,12.63,12.84,13.08
East North Central,Average Electricity Price All Sectors: East North Central,1,1,cents per kilowatthour,ESTCU_ENC,6.36,6.48,6.48,6.5,6.42,6.47,6.48,6.46,6.49,6.37,6.37,6.46,6.56,6.54,6.64,6.87,7.45,7.97,8.53,8.91,9.08,9.22,9.27,9.4,9.85,9.89,9.9,10.16,10.47
West North Central,Average Electricity Price All Sectors: West North Central,1,1,cents per kilowatthour,ESTCU_WNC,5.99,6.02,6.04,6.03,6.02,5.99,5.91,5.9,5.93,5.91,5.93,5.99,5.96,6.03,6.17,6.34,6.65,6.83,7.13,7.57,7.93,8.26,8.54,8.98,9.12,9.29,9.57,9.77,9.96
South Atlantic,Average Electricity Price All Sectors: South Atlantic,1,1,cents per kilowatthour,ESTCU_SAC,6.37,6.49,6.51,6.61,6.54,6.57,6.54,6.51,6.44,6.36,6.36,6.68,6.55,6.77,7.05,7.55,8.42,8.68,9.33,9.87,9.61,9.74,9.73,9.75,10.07,9.97,9.84,10.06,10.42
East South Central,Average Electricity Price All Sectors: East South Central,1,1,cents per kilowatthour,ESTCU_ESC,5.27,5.22,5.14,5.22,5.15,5.07,5.04,5.05,5.27,5.2,5.27,5.33,5.39,5.55,5.83,6.14,6.78,7.01,7.87,8.13,8.16,8.58,8.58,8.71,9.08,9.06,9.03,9.36,9.57
West South Central,Average Electricity Price All Sectors: West South Central,1,1,cents per kilowatthour,ESTCU_WSC,5.85,6.06,6.14,6.34,6.3,6,6.08,6.06,5.93,5.89,6.36,7.07,6.33,7.13,7.47,8.44,9.42,9.27,10.13,8.94,8.74,8.54,8.11,8.42,8.65,8.41,8.07,8.25,8.3
Mountain,Average Electricity Price All Sectors: Mountain,1,1,cents per kilowatthour,ESTCU_MTN,5.87,5.96,6.06,6.14,6.16,6.06,6,5.93,5.93,5.85,5.92,6.44,6.52,6.71,6.86,7.23,7.46,7.69,8.18,8.41,8.59,8.63,8.82,9.18,9.42,9.48,9.33,9.5,9.69
Pacific,Average Electricity Price All Sectors: Pacific,1,1,cents per kilowatthour,ESTCU_PAC,6.83,7.15,7.39,7.43,7.66,7.74,7.54,7.56,7.26,7.32,7.61,9.26,10.11,9.83,9.55,9.69,10.62,10.71,10.57,11.04,10.92,11.01,11.38,11.94,12.55,12.82,12.82,13.03,13.47
U.S.Average,Average Electricity Price All Sectors: U.S.Average,1,1,cents per kilowatthour,ESTCU_US,6.57,6.75,6.83,6.93,6.91,6.89,6.86,6.85,6.74,6.66,6.82,7.29,7.2,7.44,7.61,8.1,8.9,9.13,9.74,9.82,9.83,9.89,9.84,10.07,10.44,10.41,10.28,10.48,10.71
