Global Inputs.AEO High[NoWTE],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global Inputs.AEO High[CF],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global Inputs.AEO High[Elec],2.197247751000000000000,2.197247751000000000000,2.108208981000000000000,2.137962374000000000000,2.113557171000000000000,2.153851924000000000000,2.122461722000000000000,2.076711276000000000000,2.043404555000000000000,2.026489851000000000000,2.017453533000000000000,2.008928781000000000000,2.006404988000000000000,2.007834542000000000000,2.012152523000000000000,2.009713654000000000000,2.015780665000000000000,2.019830731000000000000,2.011913927000000000000,2.009267803000000000000,2.003269540000000000000,2.001732146000000000000,1.992828943000000000000,1.989606549000000000000,1.997355190000000000000,2.007593250000000000000,2.003655405000000000000,1.975235858000000000000,1.971364065000000000000,1.996673439000000000000,2.004629335000000000000,1.992423195000000000000,1.996562566000000000000,2.000820561000000000000,2.001697435000000000000,2.005551030000000000000
Global Inputs.AEO High[CNG],2.0960256637168142,2.0960256637168142,2.3479672566371681,2.9743778761061947,3.5504920353982301,3.9319194690265487,4.3179991150442478,4.4739088495575221,4.5815212389380531,4.7598353982300885,4.8939946902654867,4.9837380530973451,5.1502849557522124,5.1889592920353982,5.3153911504424779,5.3524840707964602,5.4091433628318584,5.4608274336283186,5.4961044247787611,5.5805451327433628,5.6103601769911504,5.6578495575221239,5.6763761061946903,5.7277530973451327,5.7984327433628319,5.8132964601769912,5.8710530973451327,5.9260592920353982,5.9801991150442478,5.9812991150442478,6.0112061946902655,6.0516858407079646,6.0958185840707965,6.1407097345132743,6.1781805309734513,6.2165964601769912
Global Inputs.AEO High[PNG],0.6231531301200000000000,0.6231531301200000000000,0.7080900817500000000000,0.7071206751000000000000,0.7369655486400000000000,0.7789961541600000000000,0.7718780278800000000000,0.7673279333400000000000,0.7751315024100000000000,0.7994675017800000000000,0.8173601906400000000000,0.8340558569100000000000,0.8541168285600000000000,0.8683228064700000000000,0.8770365921600000000000,0.8827804964700000000000,0.8984463303600000000000,0.9091363710600000000000,0.9195546813300000000000,0.9337120962300000000000,0.9395825362200000000000,0.9480615389100000000000,0.9497079855900000000000,0.9576922140000000000000,0.9804529430100000000000,0.9691962102900000000000,0.9932981680800000000000,0.9853452028800000000000,1.0076020134300000000000,1.0244806868700000000000,1.0366281121500000000000,1.0442775894300000000000,1.0511068090500000000000,1.0589840258400000000000,1.0642683733200000000000,1.0706531116500000000000
Global Inputs.AEO High[BCFuel],2.302419,2.302419,2.504295,3.07598,3.610654,3.995836,4.414255,4.587756,4.724551,4.877098,4.965235,5.034536,5.185757,5.207951,5.30901,5.334882,5.336617,5.321385,5.348793,5.423476,5.461055,5.506664,5.523691,5.564676,5.617805,5.650234,5.711071,5.755161,5.804588,5.779758,5.802886,5.818309,5.839992,5.883143,5.915074,5.951257
Global Inputs.AEO High[TCFUEL],2.302419,2.302419,2.504295,3.07598,3.610654,3.995836,4.414255,4.587756,4.724551,4.877098,4.965235,5.034536,5.185757,5.207951,5.30901,5.334882,5.336617,5.321385,5.348793,5.423476,5.461055,5.506664,5.523691,5.564676,5.617805,5.650234,5.711071,5.755161,5.804588,5.779758,5.802886,5.818309,5.839992,5.883143,5.915074,5.951257
Global Inputs.AEO High[HTL],1.055896822999999999998924,1.055896822999999999998924,1.33358320959999997848,2.03990011420000004304,2.72954447950000002690,3.14818823800000001076,3.61664950529999995158,3.82444928839999998924,3.98962061460000001614,4.13671150930000002690,4.26243707900000002152,4.34929564569999997848,4.51980132260000000538,4.57787341919999996772,4.74921643930000004304,4.79422761749999995158,4.86852114040000001076,4.93923050730000001614,5.00091177689999996772,5.09910277560000004842,5.18291572429999998924,5.24834080139999996772,5.28885828079999995696,5.36271997800000000000,5.44691259330000003228,5.49129866929999995696,5.57593744800000003228,5.67523053970000001076,5.72936423420000005380,5.72408449050000001614,5.75567359089999994620,5.80944814350000004842,5.85563614290000001614,5.92176269130000004842,5.95798510149999997848,6.00659235240000003228
Global Inputs.AEO High[CHP],1.815301481113333333324452431778900000000000,1.815301481113333333324452431778900000000000,1.868600144619999999991332435068100000000000,1.867738634226666666657876625132800000000000,1.910828357546666666657889732209400000000000,1.989798016499999999991041146762500000000000,1.995386103986666666657692697061600000000000,2.005995538693333333324428563311800000000000,2.012112279393333333324598366770300000000000,2.035782986339999999991427650236700000000000,2.048086227366666666658112922898500000000000,2.064667100346666666658122671303400000000000,2.078546862573333333324832573786200000000000,2.088947685433333333324840639840500000000000,2.100908908893333333324821016742800000000000,2.106295306006666666658124805916700000000000,2.123565213726666666658126024200300000000000,2.132737069826666666658111592495800000000000,2.137442244033333333324811815838500000000000,2.147033960919999999991524385389600000000000,2.147939719573333333324902802096200000000000,2.150215718866666666658275088766000000000000,2.146597486019999999991682835750100000000000,2.148621996373333333325063429035200000000000,2.160504982859999999991798399009300000000000,2.156140725859999999991761721079300000000000,2.171075210839999999991791702249200000000000,2.159663060286666666658536384503100000000000,2.168817381286666666658599242008100000000000,2.187062873553333333325215451226100000000000,2.199993217039999999991876618005200000000000,2.202041327566666666658604294274500000000000,2.206622163459999999991943115627300000000000,2.211919497019999999991940450110100000000000,2.213464573373333333325328432705200000000000,2.212416438399999999992065230432000000000000
Global Inputs.AEO Low[NoWTE],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
