Years,Global Outputs.global total energy prod by source[CAFO],Global Outputs.global total energy prod by source[POTW],Global Outputs.global total energy prod by config[NoWTE],Global Outputs.global total energy prod by config[CF],Global Outputs.global total energy prod by config[Elec],Global Outputs.global total energy prod by config[CNG],Global Outputs.global total energy prod by config[PNG],Global Outputs.global total energy prod by config[BCFuel],Global Outputs.global total energy prod by config[TCFUEL],Global Outputs.global total energy prod by config[HTL],Global Outputs.global total energy prod by config[CHP],Global Outputs.CA yrly energy prodn for HTL,Global Outputs.ROTUS yrly energy prodn for HTL
2015,4102544.79193,13190460.1795,0,0,159283352.451,17848008.6857,930082.076925,0,0,0,42101889.6506,0,0
2016,4102544.79193,13218289.7773,0,0,160149949.48,17755302.4322,931971.230927,0,0,0,42386197.0614,0,0
2017,4102544.79193,13236124.2378,0,0,160345574.807,17590564.7658,933181.885956,0,0,0,42531587.5082,0,0
2018,4102544.79193,13252390.8337,0,0,159517658.228,17386303.359,934286.109774,0,0,0,42464315.9669,0,0
2019,4102544.79193,13271793.1589,0,0,162759566.798,21687143.807,10504599.5509,0,0,0,45810031.5405,0,0
2020,4102544.79193,13286491.8901,0,0,164451519.838,25550099.3652,18318404.625,0,0,0,48017624.54,0,0
2021,4102544.79193,13305894.2153,0,0,163280019.542,27413300.3373,21629708.2076,0,0,0,49442652.0501,0,0
2022,11391630.1864,20927149.658,0,0,168856628.729,34951461.4122,39522304.2344,0,0,0,60666053.3291,0,0
2023,18013256.374,27969589.7102,0,0,171833435.542,40962304.499,50476537.1279,0,0,0,69242396.8235,0,0
2024,23420293.8372,32696979.2433,0,0,171260953.549,44341526.5256,57228349.8808,0,0,0,74960601.5504,0,0
2025,27585653.7182,36569328.1064,0,0,168414028.526,45935876.8225,60146207.4509,0,0,140670.876408,79548087.0968,0,140670.876408
2026,31552653.2872,39625817.7176,0,0,163589627.818,46455025.6666,63493408.8187,0,0,1159064.15308,82526580.0399,167451.393166,991612.75991
2027,35483790.2202,42012133.6306,0,0,157793668.13,45440644.2717,63482001.815,0,0,2666577.44181,84049161.8918,480485.404471,2186092.03734
2028,39106813.8185,43533313.3634,0,0,151099291.474,44527850.8485,63051660.169,0,0,4654570.78143,84233549.9944,700976.19477,3953594.58666
2029,42519836.1059,44720604.5856,0,0,143254270.906,42681589.8743,60632633.1019,0,0,7376519.771,84024846.125,1183954.21117,6192565.55983
2030,45111611.3888,45520264.9831,0,0,135554058.196,40710150.3318,59066974.4505,0,0,10097934.2673,82628776.231,1808000.71146,8289933.55589
2031,46911310.3721,46753665.1175,0,0,127889520.369,38692394.6042,56640644.0652,0,0,12595200.0241,80741812.309,2210720.70823,10384479.3159
2032,48132802.8414,47530185.7893,0,0,120244342.148,36659091.903,53606879.4666,0,0,14168398.5843,78980134.2921,2485885.23618,11682513.3481
2033,49158405.0793,48941513.319,0,0,112972654.655,34885016.1118,51034169.1584,0,0,16292837.3615,76990538.457,3394049.84949,12898787.512
2034,49861044.0829,49872606.6409,0,0,105651239.229,32864487.9946,48158734.2558,0,0,17614078.6966,74974960.4795,3677901.25384,13936177.4427
2035,50432357.8136,50735967.4798,0,0,99017147.8978,30925229.5328,45832320.7574,0,0,18736262.2758,73100711.9194,3883679.56725,14852582.7085
2036,50852868.6846,51588273.279,0,0,92625085.2196,29171778.9281,43499523.1598,0,0,19696587.9556,71399440.1402,4047471.55016,15649116.4054
2037,51065095.5586,52459171.0888,0,0,86681850.449,27447922.58,41252072.0318,0,0,20467221.6489,69851593.4297,4140852.26177,16326369.3872
2038,51224815.19,53294233.52,0,0,81001901.1929,25822246.1066,38974444.1917,0,0,21149512.7209,68290966.3158,4181207.52717,16968305.1938
2039,51298344.8188,54032744.0263,0,0,75919161.3392,24343338.7065,36911781.4647,0,0,21651181.852,66909580.0785,4205750.50094,17445431.3511
2040,51321049.8313,54710023.1863,0,0,71200517.2449,23037120.0374,35023184.4478,0,0,22046212.7628,65621922.6686,4213172.52397,17833040.2388
