Years,Global Outputs.global total energy prod by source[CAFO],Global Outputs.global total energy prod by source[POTW],Global Outputs.global total energy prod by config[NoWTE],Global Outputs.global total energy prod by config[CF],Global Outputs.global total energy prod by config[Elec],Global Outputs.global total energy prod by config[CNG],Global Outputs.global total energy prod by config[PNG],Global Outputs.global total energy prod by config[BCFuel],Global Outputs.global total energy prod by config[TCFUEL],Global Outputs.global total energy prod by config[HTL],Global Outputs.global total energy prod by config[CHP],Global Outputs.CA yrly energy prodn for HTL,Global Outputs.ROTUS yrly energy prodn for HTL
2015,4102544.79193,13190460.1795,0,0,159283352.451,17848008.6857,930082.076925,0,0,0,42101889.6506,0,0
2016,4102544.79193,13218289.7773,0,0,160149949.48,17755302.4322,931971.230927,0,0,0,42386197.0614,0,0
2017,4102544.79193,13236124.2378,0,0,160345574.807,17590564.7658,933181.885956,0,0,0,42531587.5082,0,0
2018,4102544.79193,13252390.8337,0,0,159517658.228,17386303.359,934286.109774,0,0,0,42464315.9669,0,0
2019,4102544.79193,13271793.1589,0,0,162759566.798,21687143.807,10504599.5509,0,0,0,45810031.5405,0,0
2020,4102544.79193,13286491.8901,0,0,164451519.838,25550099.3652,18318404.625,0,0,0,48017624.54,0,0
2021,4102544.79193,13305894.2153,0,0,163280019.542,27413300.3373,21629708.2076,0,0,0,49442652.0501,0,0
2022,11391630.1864,20927149.658,0,0,168856628.729,34951461.4122,39522304.2344,0,0,0,60666053.3291,0,0
2023,18013256.374,27969589.7102,0,0,171833435.542,40962304.499,50476537.1279,0,0,0,69242396.8235,0,0
2024,23420293.8372,32696979.2433,0,0,171260953.549,44341526.5256,57228349.8808,0,0,0,74960601.5504,0,0
2025,27573593.0191,36538557.3549,0,0,168446182.37,45937621.3782,60210148.4771,0,0,0,79548087.0968,0,0
2026,31148577.1482,39536656.3887,0,0,163705570.648,46493461.4329,63661452.5431,0,0,92200.8675421,82777783.5372,0,92200.8675421
2027,34437915.0164,41971758.7885,0,0,157965585.621,45675284.7447,63821190.3795,0,0,203757.390363,84679985.3684,0,203757.390363
2028,37329456.919,42751904.2121,0,0,151395994.064,44587918.0085,63512899.3507,0,0,397910.855308,85113434.9375,0,397910.855308
2029,39390241.3762,43660617.7565,0,0,143698504.297,42774925.6647,61273588.6479,0,0,603460.618173,85429798.9908,0,603460.618173
2030,40678221.123,44242486.4128,0,0,136177435.31,40838745.4148,59989018.7393,0,0,774521.276261,84567003.9001,0,774521.276261
2031,41921776.6228,45200589.0621,0,0,128622982.109,38814198.0344,57678463.6919,0,0,1873018.81041,83028298.9208,87015.6816122,1786003.1288
2032,42997315.6883,46234234.8973,0,0,121008605.311,36783388.7907,54644699.0934,0,0,3041427.20862,81749287.9449,323160.715222,2718266.4934
2033,43948047.4797,46815047.2156,0,0,113789682.199,35010202.5982,52135929.8114,0,0,4111619.4031,79790958.0283,550108.853773,3561510.54933
2034,44640160.8856,47461486.8072,0,0,106475937.947,32992793.9968,49260494.9088,0,0,5071170.00509,77831100.7659,730902.877331,4340267.12776
2035,45013567.5266,48667113.3659,0,0,99841846.6166,31055229.8546,46934081.4104,0,0,6336017.89466,75956852.2058,815723.082887,5520294.81178
2036,45420554.9837,49486955.2338,0,0,93449783.9385,29301779.25,44601283.8128,0,0,7250356.22927,74255580.4266,938969.030711,6311387.19856
2037,45642744.0317,50327704.573,0,0,87506549.1678,27577922.9019,42353832.6848,0,0,8000803.6261,72707733.7161,1025832.14694,6974971.47916
2038,45869097.5988,51158111.5791,0,0,81826599.9118,25952246.4285,40076204.8447,0,0,8745073.2088,71147106.6022,1148241.84714,7596831.36166
2039,46081942.184,51997477.6387,0,0,76743860.058,24473339.0283,38013542.1177,0,0,9486912.84946,69765720.3649,1215111.90421,8271800.94525
2040,46103814.1396,52832510.9294,0,0,72025215.9638,23167120.3593,36124945.1008,0,0,10038864.8342,68478062.955,1220570.96799,8818293.86618
