Years,="Run 24: Global Inputs.partial investment flag",="Run 24: Global Inputs.multiplier for maturity all factors",="Run 24: Global Inputs.Initial Indices of PC Maturity[HTL]","Run 24: Global Inputs.State of the Industry Multipliers[HTL, PSuccess]","Run 24: Global Inputs.State of the Industry Multipliers[HTL, ProcessYield]","Run 24: Global Inputs.State of the Industry Multipliers[HTL, InputCap]","Run 24: Global Inputs.State of the Industry Multipliers[HTL, CapitalCost]","Run 24: Global Inputs.State of the Industry Multipliers[HTL, Risk]","Run 24: Global Inputs.State of the Industry Multipliers[HTL, DebtFrac]",="Run 24: Global Inputs.scenario input unit price[HTL]",="Run 24: Global Inputs.Cumulative PC Experience[HTL]",="Run 24: Global Inputs.PC Maturity[HTL]","Run 24: Global Inputs.PC Multipliers[HTL, ProcessYield]","Run 24: Global Inputs.PC Multipliers[HTL, PSuccess]","Run 24: Global Inputs.PC Multipliers[HTL, InputCap]","Run 24: Global Inputs.PC Multipliers[HTL, CapitalCost]","Run 24: Global Inputs.PC Multipliers[HTL, Risk]","Run 24: Global Inputs.PC Multipliers[HTL, DebtFrac]",="Run 24: Global Inputs.Cumulative Comm Experience[HTL]",="Run 24: Global Inputs.Commercial Maturity[HTL]"
2015,0,1,0,2,0.1,0.8,2,8,0,1.055896823,1000,0,0.1,2,0.8,2,8,0,389583,0
2016,0,1,0,2,0.1,0.8,2,8,0,1.055896823,1000,0,0.1,2,0.8,2,8,0,389583,0
2017,0,1,0,2,0.1,0.8,2,8,0,1.3335832096,1000,0,0.1,2,0.8,2,8,0,389583,0
2018,0,1,0,2,0.1,0.8,2,8,0,1.3008747733,1000,0,0.1,2,0.8,2,8,0,389583,0
2019,0,1,0,1.80938612918,0.385920806227,0.8,1.71407919377,5.903247421,0.190613870818,1.4190916653,4942,0.381227741636,0.385920806227,1.80938612918,0.8,1.71407919377,5.903247421,0.190613870818,389583,0
2020,0,1,0,1.76067906561,0.458981401581,0.8,1.64101859842,5.36746972174,0.239320934387,1.7992866082,8884,0.478641868775,0.458981401581,1.76067906561,0.8,1.64101859842,5.36746972174,0.239320934387,389583,0
2021,0,1,0,1.73428419063,0.498573714053,0.8,1.60142628595,5.07712609694,0.265715809369,1.9846497469,12826,0.531431618738,0.498573714053,1.73428419063,0.8,1.60142628595,5.07712609694,0.265715809369,389583,0
2022,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.0703003153,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2023,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.131107308,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2024,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.1620922075,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2025,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.2119281966,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2026,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.239992052,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2027,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.2768625639,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2028,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.3135631485,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2029,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.3576013537,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2030,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.3831564882,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2031,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.4273124885,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2032,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.4544462495,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2033,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.4883985956,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2034,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.5221871476,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2035,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.5529099873,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2036,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.5669338181,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
2037,0,1,0,1.71675883762,0.524861743574,0.8,1.57513825643,4.88434721379,0.283241162382,2.6309411576,16768,0.566482324765,0.524861743574,1.71675883762,0.8,1.57513825643,4.88434721379,0.283241162382,389583,0
