price_hub,trade_date,delivery_start_date,delivery_end_date,high_price,low_price,wtd_avg_price,change,vol,num_trades,num_companies,year
SP-15 Gen DA LMP Peak,1-Apr-2009,2-Apr-2009,2-Apr-2009,30.85,30,30.44, na ,"69,200",129,16,2009
SP-15 Gen DA LMP Peak,2-Apr-2009,3-Apr-2009,4-Apr-2009,28.7,27.5,28.03,-2.41,"119,200",103,17,2009
SP-15 Gen DA LMP Peak,3-Apr-2009,6-Apr-2009,6-Apr-2009,31.5,30.25,30.5,2.47,"43,200",89,17,2009
SP-15 Gen DA LMP Peak,6-Apr-2009,7-Apr-2009,7-Apr-2009,33.3,32.45,32.83,2.33,"40,800",80,20,2009
SP-15 Gen DA LMP Peak,7-Apr-2009,8-Apr-2009,9-Apr-2009,29,28,28.69,-4.14,"116,000",117,22,2009
SP-15 Gen DA LMP Peak,8-Apr-2009,10-Apr-2009,11-Apr-2009,27.25,26.55,26.88,-1.81,"96,800",110,21,2009
SP-15 Gen DA LMP Peak,9-Apr-2009,13-Apr-2009,13-Apr-2009,28.5,27.5,28.01,1.13,"58,000",119,19,2009
SP-15 Gen DA LMP Peak,13-Apr-2009,14-Apr-2009,14-Apr-2009,26.65,25,26.27,-1.74,"26,400",51,17,2009
SP-15 Gen DA LMP Peak,14-Apr-2009,15-Apr-2009,15-Apr-2009,28.25,27.7,27.97,1.7,"55,600",101,20,2009
SP-15 Gen DA LMP Peak,15-Apr-2009,16-Apr-2009,16-Apr-2009,29.6,28.85,29.33,1.36,"38,800",80,16,2009
SP-15 Gen DA LMP Peak,16-Apr-2009,17-Apr-2009,18-Apr-2009,26.5,25.75,26.05,-3.28,"113,600",94,18,2009
SP-15 Gen DA LMP Peak,17-Apr-2009,20-Apr-2009,20-Apr-2009,37,34.25,34.81,8.76,"63,600",131,22,2009
SP-15 Gen DA LMP Peak,20-Apr-2009,21-Apr-2009,21-Apr-2009,33.5,32.75,33.16,-1.65,"49,200",79,17,2009
SP-15 Gen DA LMP Peak,21-Apr-2009,22-Apr-2009,22-Apr-2009,30.25,29.75,29.9,-3.26,"28,000",59,13,2009
SP-15 Gen DA LMP Peak,22-Apr-2009,23-Apr-2009,23-Apr-2009,27.85,27.25,27.51,-2.39,"34,800",65,16,2009
SP-15 Gen DA LMP Peak,23-Apr-2009,24-Apr-2009,25-Apr-2009,26.1,25,25.59,-1.92,"61,600",68,16,2009
