9/28/2012,3.82,4.91,2.12,3.54,3.70,3.82,,4.32,1.19,3/4/2017,,,,,,,,,,,,,,,,,,,,,,,
1/10/2013,3.29,4.48,2.10,3.70,3.55,3.70,,4.37,1.14,3/4/2017,,,,,,,,,,,,,,,,,,,,,,,
3/29/2013,3.59,4.66,2.10,3.77,3.58,3.75,,4.23,1.18,3/4/2017,,,,,,,,,,,,,,,,,,,,,,,
7/12/2013,3.65,4.57,2.14,3.77,3.50,3.55,,4.13,1.25,3/4/2017,,,,,,,,,,,,,,,,,,,,,,,
10/4/2013,3.45,4.30,2.09,4.09,3.51,3.67,,4.12,1.22,3/4/2017,,,,,,,,,,,,,,,,,,,,,,,
1/1/2014,3.34,4.29,2.09,4.31,3.49,3.62,,4.22,1.15,3/4/2017,,,,,,,,,,,,,,,,,,,,,,,
4/1/2014,3.65,4.82,2.15,4.57,3.56,3.66,,4.17,1.19,3/4/2017,,,,,,,,,,,,,,,,,,,,,,,
7/1//14,3.70,4.56,2.17,4.24,3.51,3.63,,4.18,1.19,3/4/2017,,,,,,,,,,,,,,,,,,,,,,,
10/1/2014,3.34,4.07,2.16,4.25,3.38,3.48,,4.15,1.24,3/4/2017,,,,,,,,,,,,,,,,,,,,,,,
1/1/2015,2.30,3.12,2.11,4.03,2.75,2.90,,3.98,1.27,3/4/2017,,,,,,,,,,,,,,,,,,,,,,,
4/1/2015,2.42,3.00,2.09,4.04,2.59,2.66,,3.73,1.28,3/4/2017,,,,,,,,,,,,,,,,,,,,,,,
