2010,6.5,0.65,0.95,12.95,https://www.epa.gov/sites/production/files/2015-08/documents/420f10007.pdf; https://www.gpo.gov/fdsys/pkg/FR-2010-03-26/pdf/2010-3851.pdf,12/23/2016
2011,6.6,0.8,1.35,13.95,https://www.epa.gov/sites/production/files/2015-08/documents/420f10056.pdf,12/23/2016
2012,10.45,1,2,15.2,https://www.epa.gov/sites/production/files/2015-08/documents/420f11044.pdf,12/23/2016
2013,6,1.28,2.75,16.55,https://www.epa.gov/sites/production/files/2015-08/documents/420f13042.pdf,12/23/2016
2014,33,1.63,2.67,16.28,https://www.epa.gov/renewable-fuel-standard-program/proposed-renewable-fuel-standards-2017-and-biomass-based-diesel,12/23/2016
2015,123,1.73,2.88,16.93,https://www.epa.gov/renewable-fuel-standard-program/proposed-renewable-fuel-standards-2017-and-biomass-based-diesel,12/23/2016
2016,230,1.9,3.61,18.11,https://www.epa.gov/renewable-fuel-standard-program/proposed-renewable-fuel-standards-2017-and-biomass-based-diesel,12/23/2016
2017,312,2,4,18.8,https://www.epa.gov/renewable-fuel-standard-program/proposed-renewable-fuel-standards-2017-and-biomass-based-diesel,12/23/2016
2018,,2.1,,,https://www.epa.gov/renewable-fuel-standard-program/proposed-renewable-fuel-standards-2017-and-biomass-based-diesel,12/23/2016
