2011,6,Renewable Fuel,60,Use as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(2),201334,12/23/2016
2011,6,Renewable Fuel,70,Use in a non-road engine or vehicle,7974,12/23/2016
2011,6,Renewable Fuel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),8824,12/23/2016
2012,4,Biomass-Based Diesel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),938811848,12/23/2016
2012,4,Biomass-Based Diesel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),614298488,12/23/2016
2012,4,Biomass-Based Diesel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),29632887,12/23/2016
2012,4,Biomass-Based Diesel,40,Upstream Delegation for Blending as per 40 CFR 80.1440,713648,12/23/2016
2012,4,Biomass-Based Diesel,50,Export of Renewable Fuel as per 40 CFR 80.1429(b)(4),69444600,12/23/2016
2012,4,Biomass-Based Diesel,60,Use as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(2),12520015,12/23/2016
2012,4,Biomass-Based Diesel,70,Use in a non-road engine or vehicle,11650136,12/23/2016
2012,4,Biomass-Based Diesel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),14510189,12/23/2016
2012,5,Advanced Biofuel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),297936198,12/23/2016
2012,5,Advanced Biofuel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),281237625,12/23/2016
2012,5,Advanced Biofuel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),11573756,12/23/2016
2012,5,Advanced Biofuel,50,Export of Renewable Fuel as per 40 CFR 80.1429(b)(4),5342349,12/23/2016
2012,5,Advanced Biofuel,60,Use as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(2),57551,12/23/2016
2012,5,Advanced Biofuel,70,Use in a non-road engine or vehicle,16,12/23/2016
2012,5,Advanced Biofuel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),3824678,12/23/2016
2012,6,Renewable Fuel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),11091669720,12/23/2016
2012,6,Renewable Fuel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),1667028033,12/23/2016
2012,6,Renewable Fuel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),37509741,12/23/2016
2012,6,Renewable Fuel,50,Export of Renewable Fuel as per 40 CFR 80.1429(b)(4),170605738,12/23/2016
2012,6,Renewable Fuel,60,Use as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(2),1504003,12/23/2016
2012,6,Renewable Fuel,70,Use in a non-road engine or vehicle,72707,12/23/2016
2012,6,Renewable Fuel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),218996,12/23/2016
2012,7,Cellulosic Diesel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),1741,12/23/2016
2013,3,Cellulosic Biofuel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),107821,12/23/2016
2013,3,Cellulosic Biofuel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),281828,12/23/2016
2013,3,Cellulosic Biofuel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),33091,12/23/2016
2013,4,Biomass-Based Diesel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),1566016270,12/23/2016
2013,4,Biomass-Based Diesel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),879844023,12/23/2016
2013,4,Biomass-Based Diesel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),25543579,12/23/2016
2013,4,Biomass-Based Diesel,40,Upstream Delegation for Blending as per 40 CFR 80.1440,451733,12/23/2016
2013,4,Biomass-Based Diesel,50,Export of Renewable Fuel as per 40 CFR 80.1429(b)(4),160543607,12/23/2016
2013,4,Biomass-Based Diesel,60,Use as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(2),7813063,12/23/2016
2013,4,Biomass-Based Diesel,70,Use in a non-road engine or vehicle,9558241,12/23/2016
2013,4,Biomass-Based Diesel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),9771305,12/23/2016
2013,5,Advanced Biofuel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),297061167,12/23/2016
2013,5,Advanced Biofuel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),232513411,12/23/2016
2013,5,Advanced Biofuel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),25626991,12/23/2016
2013,5,Advanced Biofuel,50,Export of Renewable Fuel as per 40 CFR 80.1429(b)(4),256241,12/23/2016
2013,5,Advanced Biofuel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),1277,12/23/2016
2013,6,Renewable Fuel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),11123541562,12/23/2016
2013,6,Renewable Fuel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),1912463107,12/23/2016
2013,6,Renewable Fuel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),29831661,12/23/2016
2013,6,Renewable Fuel,50,Export of Renewable Fuel as per 40 CFR 80.1429(b)(4),168526388,12/23/2016
2013,6,Renewable Fuel,60,Use as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(2),2181838,12/23/2016
2013,6,Renewable Fuel,70,Use in a non-road engine or vehicle,6376322,12/23/2016
2013,6,Renewable Fuel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),775090,12/23/2016
2013,7,Cellulosic Diesel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),216951,12/23/2016
2013,7,Cellulosic Diesel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),178826,12/23/2016
2014,3,Cellulosic Biofuel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),712878,12/23/2016
2014,3,Cellulosic Biofuel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),124882,12/23/2016
2014,3,Cellulosic Biofuel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),32133362,12/23/2016
2014,3,Cellulosic Biofuel,50,Export of Renewable Fuel as per 40 CFR 80.1429(b)(4),909,12/23/2016
2014,3,Cellulosic Biofuel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),359413,12/23/2016
2014,4,Biomass-Based Diesel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),1524181150,12/23/2016
2014,4,Biomass-Based Diesel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),939389084,12/23/2016
2014,4,Biomass-Based Diesel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),20222529,12/23/2016
2014,4,Biomass-Based Diesel,40,Upstream Delegation for Blending as per 40 CFR 80.1440,299207,12/23/2016
2014,4,Biomass-Based Diesel,50,Export of Renewable Fuel as per 40 CFR 80.1429(b)(4),108662612,12/23/2016
2014,4,Biomass-Based Diesel,60,Use as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(2),7077718,12/23/2016
2014,4,Biomass-Based Diesel,70,Use in a non-road engine or vehicle,8940554,12/23/2016
2014,4,Biomass-Based Diesel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),8044082,12/23/2016
2014,5,Advanced Biofuel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),70598527,12/23/2016
2014,5,Advanced Biofuel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),50693235,12/23/2016
2014,5,Advanced Biofuel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),20268112,12/23/2016
2014,5,Advanced Biofuel,60,Use as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(2),1746771,12/23/2016
