"Mitchell, SD","Mitchell, SD Urban Cluster",66,100,SD,12/23/2016
"La Grande, OR","La Grande, OR Urban Cluster",66,100,OR,12/23/2016
"Mobridge, SD","Mobridge, SD Urban Cluster",15,23,SD,12/23/2016
"Kamas, UT","Kamas, UT Urban Cluster",12,18,UT,12/23/2016
"Summit Park, UT","Summit Park, UT Urban Cluster",27,41,UT,12/23/2016
"Park City, UT","Park City, UT Urban Cluster",59,89,UT,12/23/2016
"Rapid City, SD","Rapid City, SD Urbanized Area",360,543,SD,12/23/2016
"Box Elder, SD","Box Elder, SD Urban Cluster",35,53,SD,12/23/2016
"Mabton, WA","Mabton, WA Urban Cluster",11,17,WA,12/23/2016
"Granger, WA","Granger, WA Urban Cluster",14,20,WA,12/23/2016
"Yakima, WA","Yakima, WA Urbanized Area",574,866,WA,12/23/2016
"Wapato, WA","Wapato, WA Urban Cluster",34,51,WA,12/23/2016
"Toppenish, WA","Toppenish, WA Urban Cluster",64,97,WA,12/23/2016
"Sunnyside, WA","Sunnyside, WA Urban Cluster",77,116,WA,12/23/2016
"Grandview, WA","Grandview, WA Urban Cluster",82,123,WA,12/23/2016
"Havre, MT","Havre, MT Urban Cluster",43,65,MT,12/23/2016
"Salamanca, NY","Salamanca, NY Urban Cluster",25,38,NY,12/23/2016
"Olean, NY","Olean, NY Urban Cluster",99,149,NY,12/23/2016
"Bradford, PA","Bradford, PA--NY Urban Cluster",54,81,PA,12/23/2016
"Gowanda, NY","Gowanda, NY Urban Cluster",28,42,NY,12/23/2016
"Arcade, NY","Arcade, NY Urban Cluster",14,20,NY,12/23/2016
"Lovington, NM","Lovington, NM Urban Cluster",51,77,NM,12/23/2016
"Hobbs, NM","Hobbs, NM Urban Cluster",163,245,NM,12/23/2016
"Eunice, NM","Eunice, NM Urban Cluster",13,19,NM,12/23/2016
"Davis, OK","Davis, OK Urban Cluster",11,17,OK,12/23/2016
"Sulphur, OK","Sulphur, OK Urban Cluster",21,32,OK,12/23/2016
"Anadarko, OK","Anadarko, OK Urban Cluster",26,40,OK,12/23/2016
"Logan, UT","Logan, UT Urbanized Area",421,635,UT,12/23/2016
"Providence, RI","Providence, RI--MA Urbanized Area",5276,7962,RI,12/23/2016
"Madison, SD","Madison, SD Urban Cluster",27,41,SD,12/23/2016
"Wenatchee, WA","Wenatchee, WA Urbanized Area",298,449,WA,12/23/2016
"Benton City, WA","Benton City, WA Urban Cluster",18,28,WA,12/23/2016
"Amouli, AS","Amouli, AS Urban Cluster",0,0,AS,12/23/2016
"Tafuna, AS","Tafuna, AS Urban Cluster",0,0,AS,12/23/2016
"Medical Lake, WA","Medical Lake, WA Urban Cluster",22,33,WA,12/23/2016
"Deer Park, WA","Deer Park, WA Urban Cluster",15,23,WA,12/23/2016
"Cheney, WA","Cheney, WA Urban Cluster",47,71,WA,12/23/2016
"Spokane, WA","Spokane, WA Urbanized Area",1718,2593,WA,12/23/2016
"Mountain Home, AR","Mountain Home, AR Urban Cluster",63,95,AR,12/23/2016
"Oklahoma City, OK","Oklahoma City, OK Urbanized Area",3816,5759,OK,12/23/2016
"Guthrie, OK","Guthrie, OK Urban Cluster",36,55,OK,12/23/2016
"Jerome, ID","Jerome, ID Urban Cluster",48,73,ID,12/23/2016
"Cut Bank, MT","Cut Bank, MT Urban Cluster",13,19,MT,12/23/2016
"Browning, MT","Browning, MT Urban Cluster",20,31,MT,12/23/2016
"Muldrow--Roland, OK","Muldrow--Roland, OK Urban Cluster",26,39,OK,12/23/2016
"Sallisaw, OK","Sallisaw, OK Urban Cluster",36,55,OK,12/23/2016
"Fort Smith, AR--OK","Fort Smith, AR--OK Urbanized Area",545,822,OK,12/23/2016
"Collinsville, OK","Collinsville, OK Urban Cluster",19,28,OK,12/23/2016
"Skiatook, OK","Skiatook, OK Urban Cluster",30,45,OK,12/23/2016
"Tulsa, OK","Tulsa, OK Urbanized Area",2904,4382,OK,12/23/2016
"Burns, OR","Burns, OR Urban Cluster",18,28,OR,12/23/2016
"Portland, OR--WA","Portland, OR--WA Urbanized Area",8195,12367,WA,12/23/2016
"Conrad, MT","Conrad, MT Urban Cluster",11,17,MT,12/23/2016
"Russellville, AR","Russellville, AR Urban Cluster",145,219,AR,12/23/2016
"Omak, WA","Omak, WA Urban Cluster",36,55,WA,12/23/2016
"Brockport, NY","Brockport, NY Urban Cluster",90,135,NY,12/23/2016
"Honeoye Falls, NY","Honeoye Falls, NY Urban Cluster",23,35,NY,12/23/2016
"Rochester, NY","Rochester, NY Urbanized Area",3192,4817,NY,12/23/2016
"Churchville, NY","Churchville, NY Urban Cluster",14,21,NY,12/23/2016
"Wagoner, OK","Wagoner, OK Urban Cluster",36,54,OK,12/23/2016
"Corvallis, OR","Corvallis, OR Urbanized Area",277,417,OR,12/23/2016
"Albany, OR","Albany, OR Urbanized Area",252,381,OR,12/23/2016
"Lake Providence, LA","Lake Providence, LA Urban Cluster",22,34,LA,12/23/2016
"Miles City, MT","Miles City, MT Urban Cluster",43,64,MT,12/23/2016
"Mena, AR","Mena, AR Urban Cluster",24,37,AR,12/23/2016
"Heber Springs, AR","Heber Springs, AR Urban Cluster",28,42,AR,12/23/2016
"Osburn, ID","Osburn, ID Urban Cluster",11,17,ID,12/23/2016
"Kellogg, ID","Kellogg, ID Urban Cluster",14,21,ID,12/23/2016
"Siloam Springs, AR","Siloam Springs, AR--OK Urban Cluster",86,129,AR,12/23/2016
"Grove, OK","Grove, OK Urban Cluster",32,48,OK,12/23/2016
"Poteau, OK","Poteau, OK Urban Cluster",35,52,OK,12/23/2016
"Heavener, OK","Heavener, OK Urban Cluster",17,25,OK,12/23/2016
"Stillwater, OK","Stillwater, OK Urban Cluster",197,298,OK,12/23/2016
"Cushing, OK","Cushing, OK Urban Cluster",30,45,OK,12/23/2016
"Arcadia, LA","Arcadia, LA Urban Cluster",13,19,LA,12/23/2016
"Little Falls, NY","Little Falls, NY Urban Cluster",22,33,NY,12/23/2016
"Ilion--Herkimer, NY","Ilion--Herkimer, NY Urban Cluster",110,166,NY,12/23/2016
"Utica, NY","Utica, NY Urbanized Area",520,784,NY,12/23/2016
"Winnsboro, LA","Winnsboro, LA Urban Cluster",24,36,LA,12/23/2016
"Vivian, LA","Vivian, LA Urban Cluster",13,20,LA,12/23/2016
"Shreveport, LA","Shreveport, LA Urbanized Area",1322,1994,LA,12/23/2016
"Canby, OR","Canby, OR Urban Cluster",76,114,OR,12/23/2016
"Sandy, OR","Sandy, OR Urban Cluster",44,67,OR,12/23/2016
"Mount Hood Village, OR","Mount Hood Village, OR Urban Cluster",16,24,OR,12/23/2016
"Molalla, OR","Molalla, OR Urban Cluster",39,59,OR,12/23/2016
"Estacada, OR","Estacada, OR Urban Cluster",17,26,OR,12/23/2016
"Dell Rapids, SD","Dell Rapids, SD Urban Cluster",16,24,SD,12/23/2016
"Brandon, SD","Brandon, SD Urban Cluster",36,55,SD,12/23/2016
"Sioux Falls, SD","Sioux Falls, SD Urbanized Area",695,1048,SD,12/23/2016
"Yankton, SD","Yankton, SD Urban Cluster",65,98,SD,12/23/2016
"Prairie Grove, AR","Prairie Grove, AR Urban Cluster",14,21,AR,12/23/2016
"Fayetteville--Springdale--Rogers, AR","Fayetteville--Springdale--Rogers, AR--MO Urbanized Area",1307,1973,AR,12/23/2016
"Danbury, CT-","Danbury, CT--NY Urbanized Area",745,1124,T-,12/23/2016
"Bridgeport--Stamford, CT","Bridgeport--Stamford, CT--NY Urbanized Area",4090,6172,CT,12/23/2016
"St. Maries, ID","St. Maries, ID Urban Cluster",12,17,ID,12/23/2016
"DeQuincy, LA","DeQuincy, LA Urban Cluster",22,34,LA,12/23/2016
"DeRidder, LA","DeRidder, LA Urban Cluster",59,89,LA,12/23/2016
"Nowata, OK","Nowata, OK Urban Cluster",16,24,OK,12/23/2016
"Coffeyville, KS","Coffeyville, KS--OK Urban Cluster",48,73,KS,12/23/2016
"Skaneateles, NY","Skaneateles, NY Urban Cluster",16,24,NY,12/23/2016
"Syracuse, NY","Syracuse, NY Urbanized Area",1827,2756,NY,12/23/2016
"Sayre, OK","Sayre, OK Urban Cluster",18,27,OK,12/23/2016
"Elk City, OK","Elk City, OK Urban Cluster",48,73,OK,12/23/2016
"Taos, NM","Taos, NM Urban Cluster",61,91,NM,12/23/2016
"Harrah, OK","Harrah, OK Urban Cluster",17,26,OK,12/23/2016
"Galliano--Larose--Cut Off, LA","Galliano--Larose--Cut Off, LA Urban Cluster",95,143,LA,12/23/2016
"Houma, LA","Houma, LA Urbanized Area",642,968,LA,12/23/2016
"Trumann, AR","Trumann, AR Urban Cluster",31,47,AR,12/23/2016
"Donaldsonville, LA","Donaldsonville, LA Urban Cluster",65,97,LA,12/23/2016
"Baton Rouge, LA","Baton Rouge, LA Urbanized Area",2633,3973,LA,12/23/2016
"Lake Village, AR","Lake Village, AR Urban Cluster",11,17,AR,12/23/2016
"Dermott, AR","Dermott, AR Urban Cluster",12,19,AR,12/23/2016
"Stuttgart, AR","Stuttgart, AR Urban Cluster",41,62,AR,12/23/2016
"DeWitt, AR","DeWitt, AR Urban Cluster",14,21,AR,12/23/2016
"New Orleans, LA","New Orleans, LA Urbanized Area",3986,6015,LA,12/23/2016
"Many, LA","Many, LA Urban Cluster",13,19,LA,12/23/2016
"Butte-Silver Bow, MT","Butte-Silver Bow, MT Urban Cluster",134,202,MT,12/23/2016
"Rugby, ND","Rugby, ND Urban Cluster",13,19,ND,12/23/2016
"New Cordell, OK","New Cordell, OK Urban Cluster",13,19,OK,12/23/2016
"Woodstown, NJ","Woodstown, NJ Urban Cluster",19,28,NJ,12/23/2016
"Salem, NJ","Salem, NJ Urban Cluster",25,38,NJ,12/23/2016
"Silver City, NM","Silver City, NM Urban Cluster",56,85,NM,12/23/2016
"Bayard, NM","Bayard, NM Urban Cluster",19,29,NM,12/23/2016
"Twin Rivers--Hightstown, NJ","Twin Rivers--Hightstown, NJ Urbanized Area",284,428,NJ,12/23/2016
"Browns Mills--Fort Dix, NJ","Browns Mills--Fort Dix, NJ Urban Cluster",168,254,NJ,12/23/2016
"Trenton, NJ","Trenton, NJ Urbanized Area",1314,1983,NJ,12/23/2016
"Atlantic City, NJ","Atlantic City, NJ Urbanized Area",1100,1661,NJ,12/23/2016
"Hammonton, NJ","Hammonton, NJ Urban Cluster",58,88,NJ,12/23/2016
"Vineland, NJ","Vineland, NJ Urbanized Area",422,637,NJ,12/23/2016
"Philadelphia, PA","Philadelphia, PA--NJ--DE--MD Urbanized Area",24106,36377,PA,12/23/2016
"Helena-West Helena, AR","Helena-West Helena, AR Urban Cluster",50,76,AR,12/23/2016
"Boston, MA","Boston, MA--NH--RI Urbanized Area",18522,27950,MA,12/23/2016
"Texarkana--Texarkana, TX","Texarkana--Texarkana, TX--AR Urbanized Area",346,523,TX,12/23/2016
"Green Forest, AR","Green Forest, AR Urban Cluster",12,18,AR,12/23/2016
"Berryville, AR","Berryville, AR Urban Cluster",21,32,AR,12/23/2016
"Colchester, CT","Colchester, CT Urban Cluster",45,68,CT,12/23/2016
"Hartford, CT","Hartford, CT Urbanized Area",4097,6183,CT,12/23/2016
"Springfield, MA","Springfield, MA--CT Urbanized Area",2752,4153,MA,12/23/2016
"Valatie, NY","Valatie, NY Urban Cluster",24,36,NY,12/23/2016
"Hudson, NY","Hudson, NY Urban Cluster",51,77,NY,12/23/2016
"Santo Domingo Pueblo, NM","Santo Domingo Pueblo, NM Urban Cluster",11,17,NM,12/23/2016
"Albuquerque, NM","Albuquerque, NM Urbanized Area",3284,4956,NM,12/23/2016
"Oakdale, LA","Oakdale, LA Urban Cluster",35,53,LA,12/23/2016
"Springhill, LA","Springhill, LA Urban Cluster",27,40,LA,12/23/2016
"Minden, LA","Minden, LA Urban Cluster",59,89,LA,12/23/2016
"Ruston, LA","Ruston, LA Urban Cluster",123,185,LA,12/23/2016
"St. George, UT","St. George, UT Urbanized Area",436,658,UT,12/23/2016
"Hurricane, UT","Hurricane, UT Urban Cluster",72,109,UT,12/23/2016
"Colorado City, AZ","Colorado City, AZ--UT Urban Cluster",36,55,AZ,12/23/2016
"Waldport, OR","Waldport, OR Urban Cluster",15,23,OR,12/23/2016
"Toledo, OR","Toledo, OR Urban Cluster",16,24,OR,12/23/2016
"Newport, OR","Newport, OR Urban Cluster",50,75,OR,12/23/2016
"Lincoln City, OR","Lincoln City, OR Urban Cluster",47,70,OR,12/23/2016
"Ridgefield, WA","Ridgefield, WA Urban Cluster",19,28,WA,12/23/2016
"La Center, WA","La Center, WA Urban Cluster",12,18,WA,12/23/2016
"Woodland, WA","Woodland, WA Urban Cluster",26,39,WA,12/23/2016
"Winner, SD","Winner, SD Urban Cluster",13,19,SD,12/23/2016
"Milbank, SD","Milbank, SD Urban Cluster",15,22,SD,12/23/2016
"Rhinebeck, NY","Rhinebeck, NY Urban Cluster",13,20,NY,12/23/2016
"Red Hook, NY","Red Hook, NY Urban Cluster",30,45,NY,12/23/2016
"Marlow, OK","Marlow, OK Urban Cluster",19,28,OK,12/23/2016
"Duncan, OK","Duncan, OK Urban Cluster",94,142,OK,12/23/2016
"Lolo, MT","Lolo, MT Urban Cluster",12,18,MT,12/23/2016
"Missoula, MT","Missoula, MT Urbanized Area",364,549,MT,12/23/2016
"Jena, LA","Jena, LA Urban Cluster",18,27,LA,12/23/2016
"Anaconda-Deer Lodge County, MT","Anaconda-Deer Lodge County, MT Urban Cluster",27,41,MT,12/23/2016
"Alexandria, LA","Alexandria, LA Urbanized Area",367,554,LA,12/23/2016
