Alabama,84593.3986,12/23/2016
Alaska,28.0029,12/23/2016
Arizona,26399.3747,12/23/2016
Arkansas,89680.0591,12/23/2016
California,128490.2665,12/23/2016
Colorado,128590.9573,12/23/2016
Connecticut,848.2944,12/23/2016
Delaware,34606.7688,12/23/2016
Florida,9495.7444,12/23/2016
Georgia,112142.2003,12/23/2016
Hawaii,585.2840,12/23/2016
Idaho,2014.7026,12/23/2016
Illinois,112771.1987,12/23/2016
Indiana,66561.7328,12/23/2016
Iowa,229224.1801,12/23/2016
Kansas,313746.7681,12/23/2016
Kentucky,43123.7763,12/23/2016
Louisiana,17394.5731,12/23/2016
Maine,848.2944,12/23/2016
Maryland,12025.9761,12/23/2016
Massachusetts,848.2944,12/23/2016
Michigan,31728.6798,12/23/2016
Minnesota,132130.2294,12/23/2016
Mississippi,66888.8803,12/23/2016
Missouri,90969.8543,12/23/2016
Montana,984.3202,12/23/2016
Nebraska,399873.5267,12/23/2016
Nevada,49.2861,12/23/2016
New Hampshire,991.1394,12/23/2016
New Jersey,3083.2026,12/23/2016
New Mexico,174.8705,12/23/2016
New York,3460.2965,12/23/2016
North Carolina,171370.3041,12/23/2016
North Dakota,896.7550,12/23/2016
Ohio,20573.8268,12/23/2016
Oklahoma,46652.1040,12/23/2016
Oregon,3803.2773,12/23/2016
Pennsylvania,76926.9094,12/23/2016
Rhode Island,848.2944,12/23/2016
South Carolina,39232.8378,12/23/2016
South Dakota,32313.4343,12/23/2016
Tennessee,32497.2400,12/23/2016
Texas,368831.4270,12/23/2016
Utah,30682.5944,12/23/2016
Vermont,848.2944,12/23/2016
Virginia,51720.6218,12/23/2016
Washington,60988.9780,12/23/2016
West Virginia,7210.3606,12/23/2016
Wisconsin,90391.4030,12/23/2016
Wyoming,339.4157,12/23/2016
