2010,1.56,12186,,12/23/2016
2011,1.13,,"Cellulosic biofuel standards for 2011 and 2012 were set and subsequently removed due to legal challenges of those respective standards, resulting in no cellulosic biofuel standard for 2011 and 2012.",12/23/2016
2012,0.78,,"Cellulosic biofuel standards for 2011 and 2012 were set and subsequently removed due to legal challenges of those respective standards, resulting in no cellulosic biofuel standard for 2011 and 2012. CWC requirements were waived in 2012.",12/23/2016
2013,0.42,856325,,12/23/2016
2014,0.49,12447036,,12/23/2016
2015,0.64,,CWCs for 2015 cannot be purchased until obligated parties submit their annual compliance report for 2015.,12/23/2016
2016,1.33,,,12/23/2016
